id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Algiros,district_Benicalap,district_Benimaclet,district_Camins al Grau,district_Campanar,district_Ciutat Vella,district_El Pla del Real,district_Extramurs,district_Jesus,district_L'Eixample,district_L'Olivereta,district_La Saidia,district_Patraix,district_Poblats Maritims,district_Poblats de l'Oest,district_Poblats del Nord,district_Poblats del Sud,district_Quatre Carreres,district_Rascanya,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
906167900799226453,86347576,1462839876172002304,True,True,True,El Carme,39.47776933760931,-0.3802649349182152,6,1.0,2.0,2.0,166.77,1.0,720.0,259,108,30,180,4.75,3,3.1,True,5.122593993782309,4.6913478822291435,3.4339872044851463,1.410986973710262,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,27.795,166.77,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,169.96350147051163,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.0,False,True,False,False,1.0,True,1050.0,26.0,0.9388810107508498,86,True,False,False,48,9.916666666666666
906208966624897692,430744233,1469950661090296320,False,True,True,La Roqueta,39.4681814,-0.3812298,4,2.0,2.0,2.0,331.0,1.0,365.0,137,25,5,30,5.0,1,0.8,True,5.805134968916488,3.258096538021482,1.791759469228055,0.5877866649021191,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,82.75,331.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,177.47901924215373,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.5833333333333335,True,False,False,False,1.0,True,942.0,41.0,0.46431768553143765,44,True,False,True,48,4.583333333333333
906608466854085901,4966350,1462669585727877888,True,True,True,La Petxina,39.47559,-0.39482,5,1.5,3.0,3.0,187.82,11.0,1125.0,260,72,8,176,4.92,9,1.97,True,5.240794180304371,4.290459441148391,2.1972245773362196,1.0885619528146082,1.3862943611198906,1.3862943611198906,0.9162907318741551,2.302585092994046,37.564,17.074545454545454,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,165.29057883228188,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,13.333333333333334,False,True,False,False,1.0,True,1103.0,188.0,1.7109364668988025,13,True,False,True,48,13.333333333333334
907023659286540145,432981976,1469960002152740096,False,True,True,Aiora,39.46488446715247,-0.3401244329878997,4,1.0,1.0,2.0,145.8,1.0,1125.0,314,51,30,180,4.51,65,1.38,True,4.9890711161804155,3.9512437185814275,3.4339872044851463,0.8671004876833833,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.189654742026425,36.45,145.8,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,179.7086202555393,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.583333333333333,False,False,False,True,0.9230769230769231,True,1112.0,26.0,3.155028554734501,36,True,False,False,28,4.583333333333333
907039490867506682,518331880,1470332092995435264,False,True,True,Cabanyal-Canyamelar,39.466517762604006,-0.328985605421036,5,1.0,3.0,3.0,222.25,12.0,360.0,295,12,3,72,4.17,3,0.34,True,5.408292219756609,2.5649493574615367,1.3862943611198906,0.29266961396282004,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906,44.45,18.520833333333332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,195.17308366462774,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,True,False,False,1.0,True,1077.0,138.0,4.078841672683309,57,True,False,False,31,3.0
907065840148087560,518343700,1470332150225253888,False,True,True,Russafa,39.45981587941405,-0.3761626814758356,2,1.5,1.0,1.0,214.0,1.0,1125.0,226,6,2,12,5.0,2,0.18,False,5.3706380281276624,1.9459101490553132,1.0986122886681098,0.16551443847757338,0.6931471805599453,0.6931471805599453,0.9162907318741551,1.0986122886681098,107.0,214.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,191.95878061790143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,True,False,False,0.0,True,977.0,61.0,1.1213650092276874,32,True,True,False,39,3.0
907095139958472802,37921018,1465567400552705024,False,True,True,La Malva-Rosa,39.48161,-0.32871,6,1.0,3.0,3.0,193.43,1.0,1125.0,38,83,20,120,4.35,1,2.26,True,5.270072201107735,4.430816798843313,3.044522437723423,1.1817271953786161,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,32.23833333333334,193.43,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,188.07043969364136,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10.0,True,False,False,False,1.0,True,1108.0,15.0,4.287197743996484,51,True,False,False,51,10.916666666666666
907187469723842093,384648424,1463578228583229696,False,True,True,L'Illa Perduda,39.4678976,-0.3380524,1,0.5,1.0,1.0,33.14,2.0,180.0,294,21,0,0,4.67,6,0.6,False,3.5304697173662944,3.091042453358316,0.0,0.4700036292457355,0.6931471805599453,0.6931471805599453,0.4054651081081644,1.9459101490553132,33.14,16.57,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,152.23772072795575,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.4166666666666665,False,True,False,False,0.0,True,1050.0,406.0,3.2906816970655677,14,False,False,False,5,5.416666666666667
907211171197620984,384648424,1463578228583229696,False,True,True,L'Illa Perduda,39.4677769,-0.337832,1,0.5,1.0,2.0,53.29,10.0,160.0,260,9,2,40,4.89,6,0.26,False,3.9943400479173596,2.302585092994046,1.0986122886681098,0.23111172096338664,0.6931471805599453,1.0986122886681098,0.4054651081081644,1.9459101490553132,53.29,5.329,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,152.23772072795575,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.4166666666666665,False,True,False,False,0.0,True,1024.0,259.0,3.310490406323118,14,True,False,True,52,5.416666666666667
907347419220232709,274588175,1469448695562428160,False,True,True,Mestalla,39.474681,-0.3541787,8,2.0,5.0,5.0,189.91,11.0,365.0,288,3,1,22,4.33,1,0.13,False,5.251802112806568,1.3862943611198906,0.6931471805599453,0.12221763272424921,1.791759469228055,1.791759469228055,1.0986122886681098,0.6931471805599453,23.73875,17.264545454545456,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,157.86308756105427,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.916666666666667,True,False,False,False,1.0,True,699.0,313.0,1.9717986019465161,12,False,False,False,36,6.916666666666667
