id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Arganzuela,district_Barajas,district_Carabanchel,district_Centro,district_Chamartín,district_Chamberí,district_Ciudad Lineal,district_Fuencarral - El Pardo,district_Hortaleza,district_Latina,district_Moncloa - Aravaca,district_Moratalaz,district_Puente de Vallecas,district_Retiro,district_Salamanca,district_San Blas - Canillejas,district_Tetuán,district_Usera,district_Vicálvaro,district_Villa de Vallecas,district_Villaverde,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room,property_type_Private room in bed and breakfast,property_type_Private room in casa particular,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in bed and breakfast,property_type_Shared room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,n_amenities,host_user_tenure_years
53764458,377605855,1469770710891063808,False,True,True,40.39628,-3.71045,6,2.0,2.0,4.0,207.1,1.0,1125.0,324,56,25,150,4.79,390,1.06,False,5.338018733399589,4.04305126783455,3.258096538021482,0.7227059828014898,1.0986122886681098,1.6094379124341005,1.0986122886681098,5.968707559985366,34.516666666666666,207.1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130.93432403192824,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.333333333333333,False,False,False,True,1.0,True,1596.0,28.0,2.350166892800831,16,True,False,True,25,5.5
1166596733190775995,567327895,1470525140312186368,False,True,True,40.45577218102863,-3.681198797852383,4,1.0,1.0,2.0,72.57,31.0,365.0,226,0,0,0,,138,0.0,True,4.298237333944173,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.9344739331306915,18.1425,2.3409677419354837,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,172.016517503932,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,False,False,False,True,0.2826086956521739,False,,,4.736895328125563,18,True,False,True,20,2.25
1711643420293378154,481066735,1470166399761521920,False,True,True,40.44371650000001,-3.583470299999999,6,2.0,2.0,3.0,147.1,2.0,365.0,110,0,0,0,,20,0.0,True,4.997887721273753,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,1.0986122886681098,3.044522437723423,24.516666666666666,73.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,127.6439133615053,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.6666666666666665,False,False,True,False,1.0,False,,,10.61550218733598,51,True,True,False,34,3.6666666666666665
45577664,369090067,1469745513984464128,False,True,True,40.42355,-3.70226,1,1.0,1.0,1.0,75.39,90.0,1125.0,365,0,0,0,,1,0.0,False,4.335851797553269,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,75.39,0.8376666666666667,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,175.94637586523328,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5.75,True,False,False,False,0.0,False,,,0.7618034354236175,227,True,False,False,18,5.75
4687759,13569734,1462914305460023040,True,True,True,40.415794372558594,-3.706022977828979,3,1.5,1.0,2.0,225.0,1.0,1125.0,95,533,31,186,4.81,5,3.8,True,5.420534999272286,6.280395838960195,3.4657359027997265,1.5686159179138452,0.6931471805599453,1.0986122886681098,0.9162907318741552,1.791759469228055,75.0,225.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,238.82348334828518,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.166666666666666,False,True,False,False,1.0,True,4216.0,57.0,0.2189086434893927,207,True,False,True,42,12.166666666666666
866416688572472417,225570970,1463220277879968768,True,True,True,40.4153081,-3.711401,2,1.0,1.0,1.0,93.0,1.0,365.0,149,98,37,222,4.79,33,2.69,True,4.543294782270004,4.59511985013459,3.6375861597263857,1.3056264580524355,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.5263605246161616,46.5,93.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,183.1172380313284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.583333333333333,False,False,True,False,0.0303030303030303,True,1102.0,63.0,0.6645324484176909,115,True,False,False,39,7.583333333333333
31299765,107141654,1467298646122268160,False,True,True,40.42165,-3.707,2,1.0,1.0,1.0,168.67,3.0,1125.0,158,336,48,255,4.47,118,3.71,True,5.133855374054848,5.820082930352362,3.8918202981106265,1.5496879080283263,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.77912349311153,84.335,56.22333333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,175.94637586523328,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.416666666666666,False,False,False,True,1.0,True,2728.0,29.0,0.603509885686828,239,True,False,False,35,9.5
1188996141018531756,438136382,1469979899173796608,False,True,True,40.42965935051602,-3.718130860571961,4,2.0,3.0,3.0,131.78,1.0,365.0,130,0,0,0,,375,0.0,True,4.888693623291013,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,5.929589143389895,32.945,131.78,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,158.85436226701194,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.416666666666667,False,False,False,True,1.0,False,,,1.8751604674644584,31,True,False,True,10,4.416666666666667
602801210452572124,434200137,1469964841669096448,True,True,True,40.42497,-3.67479,7,2.0,4.0,5.0,409.38,2.0,1125.0,310,110,17,102,4.69,10,2.16,True,6.017083559725601,4.709530201312334,2.8903717578961645,1.1505720275988207,1.6094379124341005,1.791759469228055,1.0986122886681098,2.3978952727983707,58.48285714285714,204.69,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,202.26587413417772,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,False,True,False,False,1.0,True,1536.0,99.0,2.6184280824605324,25,True,False,True,36,4.5
1008673349945285038,425123933,1469927873555462912,False,True,True,40.413304912002445,-3.70097925767211,4,2.0,2.0,2.0,233.0,1.0,365.0,130,3,2,12,5.0,5,0.1,True,5.455321115357702,1.3862943611198906,1.0986122886681098,0.0953101798043248,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.791759469228055,58.25,233.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,204.08744806213556,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.583333333333333,False,True,False,False,0.2,True,910.0,279.0,0.4561421977166194,191,True,False,True,47,4.666666666666667
