id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Ciutat Vella,district_Eixample,district_Gràcia,district_Horta-Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,neighbourhood_price_encoded,property_type_Entire condo,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in hostel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,host_user_tenure_years
1711497170726582645,514397368,1470313777494880256,False,True,True,41.39444049999999,2.1657961,1,1.0,1.0,1.0,43.56,32.0,60.0,47,0,0,0,,31,0.0,True,3.7968365956190286,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.4657359027997265,43.56,1.36125,False,False,True,False,False,True,False,False,False,False,False,False,False,False,353.4946843421137,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.75,False,False,True,False,0.0,False,,,0.8170631639171431,3.0833333333333335
25927223,680516636,1470701601778595584,True,True,True,41.405297,2.171408200000001,6,1.0,2.0,4.0,171.0,1.0,31.0,303,170,13,78,4.59,15,1.74,True,5.147494476813453,5.14166355650266,2.6390573296152584,1.007957920399979,1.0986122886681098,1.6094379124341005,0.6931471805599453,2.772588722239781,28.5,171.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,266.8418102833836,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.25,False,False,True,False,1.0,True,2932.0,18.0,2.0037939418992505,1.3333333333333333
1648076261985847380,227107705,1469208980630499584,True,True,True,41.37397577521226,2.1631858271509445,5,2.0,2.0,4.0,310.4,3.0,365.0,347,7,7,42,5.0,5,4.12,True,5.741078259399898,2.0794415416798357,2.0794415416798357,1.6331544390514163,1.0986122886681098,1.6094379124341005,1.0986122886681098,1.791759469228055,62.08,103.46666666666664,True,False,False,False,False,False,False,False,False,False,False,False,True,False,244.40874969962195,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.583333333333333,False,True,False,False,1.0,True,57.0,11.0,1.5595587345539712,7.583333333333333
1532379150409679233,425269992,1463669618089562880,False,True,True,41.39786321665584,2.182214026923971,2,0.0,1.0,1.0,44.84,31.0,365.0,357,1,1,62,5.0,11,0.34,True,3.825157072406484,0.6931471805599453,0.6931471805599453,0.29266961396282,0.6931471805599453,0.6931471805599453,0.0,2.4849066497880004,22.42,1.446451612903226,False,False,True,False,False,True,False,False,False,False,False,False,False,False,250.77951196511597,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4.583333333333333,False,False,True,False,0.0,True,93.0,93.0,1.6258362021303747,4.666666666666667
1364436964919537178,432139206,1469956238199720192,False,True,True,41.3851188,2.1657692,3,1.0,1.0,2.0,159.0,1.0,6.0,230,0,0,0,,3,0.0,True,5.075173815233827,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906,53.0,159.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,147.34113550934208,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4.5,False,True,False,False,0.0,False,,,0.3465763883237059,4.583333333333333
44015386,33278356,1465487185883181568,False,True,True,41.38874,2.17691,6,2.0,2.0,4.0,260.1,1.0,1125.0,334,332,43,255,4.47,73,4.96,True,5.5649034757050835,5.808142489980444,3.784189633918261,1.7850704810772584,1.0986122886681098,1.6094379124341005,1.0986122886681098,4.30406509320417,43.35,260.1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,233.13189128386705,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.166666666666666,False,False,False,True,0.9452054794520548,True,2013.0,21.0,0.7090839274653998,11.083333333333334
5394263,7282791,1462727984558543616,True,True,True,41.40146,2.18481,2,1.0,1.0,1.0,237.0,1.0,1125.0,104,434,33,198,4.91,1,3.15,True,5.472270673671475,6.075346031088684,3.5263605246161616,1.423108334242607,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,118.5,237.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,250.77951196511597,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11.333333333333334,True,False,False,False,1.0,True,4136.0,38.0,2.0670222493147787,12.916666666666666
6461376,26521943,1462637672534209024,True,True,True,41.40249,2.17388,4,1.0,2.0,3.0,238.5,2.0,365.0,245,185,49,255,4.55,24,1.51,True,5.4785534168509695,5.225746673713202,3.912023005428146,0.9202827531436926,1.0986122886681098,1.3862943611198906,0.6931471805599453,3.218875824868201,59.625,119.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,266.8418102833836,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.416666666666666,False,False,True,False,0.9166666666666666,True,3689.0,10.0,1.7347719498444798,11.416666666666666
36129095,36607755,1465545217963347968,False,True,True,41.40142,2.1556,2,4.0,1.0,1.0,38.38,32.0,365.0,365,0,0,0,,136,0.0,False,3.673258073210979,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341005,4.919980925828125,19.19,1.199375,False,False,True,False,False,False,True,False,False,False,False,False,False,False,207.4881488803305,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.0,False,False,False,True,0.0,False,,,1.8990173326507869,11.0
18439708,4459553,1462535697208324352,False,True,True,41.39895,2.18012,5,2.0,3.0,6.0,293.0,1.0,1125.0,311,114,22,132,4.27,243,1.03,True,5.683579767338681,4.74493212836325,3.1354942159291497,0.708035793053696,1.3862943611198906,1.9459101490553132,1.0986122886681098,5.497168225293202,58.6,293.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,250.77951196511597,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.416666666666666,False,False,False,True,1.0,True,3330.0,29.0,1.6040225423246208,13.5
