id,host_id,host_profile_id,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,reviews_per_month,has_license,price_log,number_of_reviews_log,number_of_reviews_ltm_log,reviews_per_month_log,bedrooms_log,beds_log,bathrooms_log,calculated_host_listings_count_log,price_per_accommodate,price_per_min_night,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,district_Guipúzcoa,district_Vizcaya,district_Álava,neighbourhood_price_encoded,property_type_Entire chalet,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in cottage,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hotel,host_tenure_years,host_size_individual,host_size_pequeno,host_size_mediano,host_size_grande,host_entire_homes_ratio,has_reviews,listing_age_days,days_since_last_review,distance_to_center_km,n_nearby_150m,has_ac,has_pool,has_dishwasher,has_sea_view,n_amenities,host_user_tenure_years
1578094967957794632,63325811,1466781673461930752,False,True,True,43.24796,-2.91384,4,1.0,2.0,4.0,134.0,2.0,365.0,131,12,12,72,4.58,1,2.03,True,4.90527477843843,2.5649493574615367,2.5649493574615367,1.1085626195212777,1.0986122886681098,1.6094379124341005,0.6931471805599453,0.6931471805599453,33.5,67.0,True,False,False,False,False,True,False,211.78242676636643,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.25,True,False,False,False,1.0,True,177.0,31.0,2.394434373189695,1,False,False,True,False,44,10.25
848512944289388612,85807057,1467033651325797120,True,True,True,43.3830092,-2.9807957,3,1.0,2.0,3.0,150.67,2.0,31.0,42,20,6,36,4.65,15,0.55,True,5.021707108063305,3.044522437723423,1.9459101490553132,0.4382549309311553,1.0986122886681098,1.3862943611198906,0.6931471805599453,2.772588722239781,50.22333333333333,75.335,True,False,False,False,False,True,False,235.94844479139564,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.166666666666666,False,False,True,False,0.9333333333333332,True,1090.0,45.0,13.849094461287258,2,False,False,True,False,34,9.916666666666666
887593991182248807,31412771,1462655010825308160,False,True,True,43.40719,-2.94543,3,1.0,2.0,2.0,172.0,1.0,270.0,54,42,9,54,4.71,1,1.13,False,5.153291594497779,3.7612001156935624,2.302585092994046,0.7561219797213337,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,57.333333333333336,172.0,True,False,False,False,False,True,False,229.91443235071807,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.833333333333333,True,False,False,False,1.0,True,1115.0,3.0,16.055372170769004,3,False,False,True,True,41,11.166666666666666
1299972278453460859,664405888,1470667338177736960,True,True,True,43.26421,-2.92657,3,1.0,1.0,3.0,259.0,1.0,999.0,329,15,11,66,4.93,1,0.79,True,5.560681631015528,2.772588722239781,2.4849066497880004,0.5822156198526637,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,86.33333333333333,259.0,True,False,False,False,False,True,False,211.78242676636643,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5,True,False,False,False,1.0,True,569.0,10.0,0.6957365428909028,8,True,False,True,False,39,1.5833333333333337
1141202440706072876,573820302,1470566800025518592,True,True,True,43.3214477,-1.9837229,2,1.0,1.0,1.0,100.73,31.0,365.0,121,13,5,255,4.85,2,0.51,True,4.622322244805657,2.6390573296152584,1.791759469228055,0.412109650826833,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,50.365,3.2493548387096776,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1666666666666665,False,True,False,False,1.0,True,759.0,61.0,0.4051688443430667,43,False,False,True,False,22,2.1666666666666665
37961148,123839061,1468251371863988992,True,True,True,43.36946,-1.79346,6,2.0,3.0,5.0,179.5,2.0,365.0,16,105,20,120,4.99,1,1.27,True,5.195730777772936,4.663439094112067,3.044522437723423,0.8197798314933114,1.3862943611198906,1.791759469228055,1.0986122886681098,0.6931471805599453,29.916666666666668,89.75,True,False,False,False,True,False,False,290.70417552545996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.833333333333333,True,False,False,False,1.0,True,2478.0,59.0,16.21262650172486,12,False,False,True,False,41,9.166666666666666
925958700748878049,523066359,1470353473296614400,False,True,True,43.3241738,-1.9755433,5,2.0,3.0,3.0,804.75,32.0,32.0,361,0,0,0,,1,0.0,False,6.6917735206955475,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,160.95,25.1484375,True,False,False,False,True,False,False,384.9671906787846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.9166666666666665,True,False,False,False,1.0,False,,,0.7974906371102574,55,False,False,True,False,27,3.0
680148821835795845,471800806,1470127949640784640,True,False,True,43.28064254256767,-2.1731025153442407,8,4.5,5.0,7.0,723.0,3.0,28.0,244,15,4,24,4.8,2,0.32,True,6.584791392385716,2.772588722239781,1.6094379124341005,0.2776317365982795,1.791759469228055,2.0794415416798357,1.7047480922384253,1.0986122886681098,90.375,241.0,True,False,False,False,True,False,False,290.406314834125,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3.9166666666666665,False,True,False,False,1.0,True,1411.0,291.0,16.084385615486106,2,False,False,True,False,37,3.9166666666666665
1181572449702214439,120938252,1468229480814589696,True,True,True,43.36370065008843,-1.791453994442742,3,1.0,1.0,1.0,205.41,2.0,365.0,80,14,12,72,4.86,2,0.61,True,5.329864482046166,2.70805020110221,2.5649493574615367,0.4762341789963716,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,68.47,102.705,True,False,False,False,True,False,False,290.70417552545996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4166666666666665,False,True,False,False,1.0,True,688.0,46.0,16.153864098881932,23,False,False,False,False,7,9.25
929480774584765616,524026512,1470357481735486976,False,True,True,43.26177273,-2.940217815,5,2.0,3.0,4.0,285.0,2.0,999.0,29,17,0,0,4.94,1,0.49,True,5.655991810819852,2.8903717578961645,0.0,0.3987761199573678,1.3862943611198906,1.6094379124341005,1.0986122886681098,0.6931471805599453,57.0,142.5,True,False,False,False,False,True,False,211.78242676636643,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.9166666666666665,True,False,False,False,1.0,True,1046.0,686.0,0.4440028163920558,11,False,False,True,False,42,2.9166666666666665
